comment_id,platform,comment,timestamp
1,YouTube,Horrible! Nothing like advertised!,2026-01-02 13:14:23
2,YouTube,Impressive quality! Love everything about it!,2025-12-08 13:14:23
3,Twitter,I absolutely love this product! Amazing quality!,2026-01-04 13:14:23
4,Twitter,Awful product! Returned immediately!,2025-12-14 13:14:23
5,Twitter,So happy with this! Perfect for what I needed!,2025-12-25 13:14:23
6,Instagram,"It's alright, does what it says",2025-12-18 13:14:23
7,Instagram,Wonderful experience! Thank you so much!,2025-12-22 13:14:23
8,YouTube,Terrible experience! Would not recommend!,2025-12-11 13:14:23
9,Twitter,"It's okay, nothing special but does the job",2025-12-30 13:14:23
10,Instagram,Best purchase I've ever made! Highly recommend!,2025-12-27 13:14:23
11,YouTube,It works fine for everyday use,2026-01-01 13:14:23
12,Instagram,Neutral feelings about this purchase,2025-12-11 13:14:23
13,YouTube,Very disappointed with the quality. Not worth it!,2025-12-29 13:14:23
14,YouTube,I absolutely love this product! Amazing quality!,2025-12-07 13:14:23
15,Twitter,Brilliant! Exactly what I was looking for!,2025-12-12 13:14:23
16,YouTube,Excellent service and great customer support!,2025-12-08 13:14:23
17,Instagram,Excellent service and great customer support!,2025-12-27 13:14:23
18,YouTube,"Pretty standard, no complaints",2025-12-17 13:14:23
19,Twitter,Impressive quality! Love everything about it!,2025-12-30 13:14:23
20,Facebook,Decent quality for the price,2025-12-27 13:14:23
21,Facebook,Best purchase I've ever made! Highly recommend!,2025-12-29 13:14:23
22,Facebook,Neutral feelings about this purchase,2025-12-20 13:14:23
23,YouTube,This is fantastic! Exceeded my expectations!,2025-12-15 13:14:23
24,Instagram,Very disappointed with the quality. Not worth it!,2025-12-31 13:14:23
25,Instagram,Great value for money! Very satisfied!,2025-12-31 13:14:23
26,Twitter,Brilliant! Exactly what I was looking for!,2025-12-13 13:14:23
27,Twitter,Horrible! Nothing like advertised!,2025-12-15 13:14:23
28,Twitter,Impressive quality! Love everything about it!,2026-01-03 13:14:23
29,YouTube,So happy with this! Perfect for what I needed!,2025-12-25 13:14:23
30,YouTube,Unacceptable quality! Very frustrated!,2025-12-31 13:14:23
31,Facebook,Outstanding! Will definitely buy again!,2025-12-24 13:14:23
32,Instagram,Brilliant! Exactly what I was looking for!,2025-12-17 13:14:23
33,Instagram,Best purchase I've ever made! Highly recommend!,2025-12-14 13:14:23
34,Instagram,Wonderful experience! Thank you so much!,2026-01-01 13:14:23
35,Instagram,Impressive quality! Love everything about it!,2025-12-23 13:14:23
36,Twitter,Impressive quality! Love everything about it!,2026-01-04 13:14:23
37,Twitter,Great value for money! Very satisfied!,2025-12-21 13:14:23
38,Twitter,Wonderful experience! Thank you so much!,2025-12-29 13:14:23
39,Twitter,Great value for money! Very satisfied!,2025-12-14 13:14:23
40,YouTube,This is fantastic! Exceeded my expectations!,2025-12-25 13:14:23
41,Instagram,Brilliant! Exactly what I was looking for!,2025-12-22 13:14:23
42,Twitter,I absolutely love this product! Amazing quality!,2025-12-17 13:14:23
43,Instagram,Best purchase I've ever made! Highly recommend!,2026-01-05 13:14:23
44,YouTube,It works fine for everyday use,2026-01-04 13:14:23
45,Twitter,Brilliant! Exactly what I was looking for!,2025-12-15 13:14:23
46,Facebook,Best purchase I've ever made! Highly recommend!,2025-12-30 13:14:23
47,Facebook,Horrible! Nothing like advertised!,2025-12-22 13:14:23
48,Instagram,Neutral feelings about this purchase,2025-12-17 13:14:23
49,Instagram,"It's okay, nothing special but does the job",2026-01-03 13:14:23
50,Instagram,Pathetic! Don't waste your time!,2025-12-22 13:14:23
51,Facebook,Waste of money! Completely unsatisfied!,2026-01-01 13:14:23
52,Twitter,Excellent service and great customer support!,2025-12-27 13:14:23
53,YouTube,I absolutely love this product! Amazing quality!,2025-12-16 13:14:23
54,Twitter,Excellent service and great customer support!,2025-12-29 13:14:23
55,YouTube,I absolutely love this product! Amazing quality!,2025-12-18 13:14:23
56,Twitter,I absolutely love this product! Amazing quality!,2025-12-22 13:14:23
57,YouTube,I absolutely love this product! Amazing quality!,2025-12-11 13:14:23
58,Instagram,Decent quality for the price,2025-12-11 13:14:23
59,Instagram,"Not bad, not great, just okay",2025-12-13 13:14:23
60,Instagram,So happy with this! Perfect for what I needed!,2025-12-23 13:14:23
61,Twitter,Impressive quality! Love everything about it!,2025-12-29 13:14:23
62,Facebook,Wonderful experience! Thank you so much!,2026-01-06 13:14:23
63,YouTube,So happy with this! Perfect for what I needed!,2025-12-09 13:14:23
64,Twitter,"Regular product, nothing extraordinary",2025-12-22 13:14:23
65,Instagram,"It's okay, nothing special but does the job",2026-01-02 13:14:23
66,YouTube,Poor quality and bad customer service!,2025-12-26 13:14:23
67,Twitter,Great value for money! Very satisfied!,2025-12-26 13:14:23
68,Instagram,Great value for money! Very satisfied!,2025-12-17 13:14:23
69,Instagram,Impressive quality! Love everything about it!,2025-12-09 13:14:23
70,YouTube,Unacceptable quality! Very frustrated!,2026-01-01 13:14:23
71,Instagram,Neutral feelings about this purchase,2025-12-25 13:14:23
72,Facebook,Horrible! Nothing like advertised!,2025-12-28 13:14:23
73,Instagram,Neutral feelings about this purchase,2025-12-11 13:14:23
74,Facebook,Wonderful experience! Thank you so much!,2025-12-19 13:14:23
75,YouTube,Decent quality for the price,2026-01-03 13:14:23
76,YouTube,Excellent service and great customer support!,2025-12-23 13:14:23
77,Facebook,Decent quality for the price,2025-12-18 13:14:23
78,Facebook,Wonderful experience! Thank you so much!,2025-12-28 13:14:23
79,Instagram,Wonderful experience! Thank you so much!,2026-01-05 13:14:23
80,Instagram,Terrible experience! Would not recommend!,2026-01-05 13:14:23
81,Twitter,So happy with this! Perfect for what I needed!,2025-12-16 13:14:23
82,YouTube,Excellent service and great customer support!,2025-12-26 13:14:23
83,YouTube,"Acceptable quality, no issues so far",2025-12-16 13:14:23
84,YouTube,"Average product, met basic expectations",2025-12-15 13:14:23
85,Instagram,Waste of money! Completely unsatisfied!,2025-12-24 13:14:23
86,Facebook,This is fantastic! Exceeded my expectations!,2026-01-05 13:14:23
87,Twitter,Great value for money! Very satisfied!,2025-12-24 13:14:23
88,Twitter,Horrible! Nothing like advertised!,2025-12-08 13:14:23
89,Twitter,Brilliant! Exactly what I was looking for!,2025-12-24 13:14:23
90,Facebook,Brilliant! Exactly what I was looking for!,2026-01-02 13:14:23
91,Facebook,Excellent service and great customer support!,2025-12-24 13:14:23
92,Facebook,Best purchase I've ever made! Highly recommend!,2025-12-28 13:14:23
93,Facebook,"Acceptable quality, no issues so far",2026-01-01 13:14:23
94,Twitter,Awful product! Returned immediately!,2026-01-03 13:14:23
95,Instagram,So happy with this! Perfect for what I needed!,2025-12-21 13:14:23
96,YouTube,"It's alright, does what it says",2025-12-26 13:14:23
97,Twitter,Great value for money! Very satisfied!,2025-12-23 13:14:23
98,Instagram,"Pretty standard, no complaints",2026-01-04 13:14:23
99,Facebook,Decent quality for the price,2025-12-12 13:14:23
100,Instagram,"Not bad, not great, just okay",2025-12-18 13:14:23
101,Twitter,Decent quality for the price,2026-01-05 13:14:23
102,Facebook,Great value for money! Very satisfied!,2025-12-16 13:14:23
103,Instagram,Unacceptable quality! Very frustrated!,2025-12-23 13:14:23
104,YouTube,Outstanding! Will definitely buy again!,2025-12-11 13:14:23
105,YouTube,Brilliant! Exactly what I was looking for!,2026-01-03 13:14:23
106,YouTube,Neutral feelings about this purchase,2025-12-10 13:14:23
107,Instagram,"Acceptable quality, no issues so far",2025-12-14 13:14:23
108,Facebook,"Acceptable quality, no issues so far",2026-01-02 13:14:23
109,Facebook,Poor quality and bad customer service!,2025-12-30 13:14:23
110,YouTube,"Not bad, not great, just okay",2025-12-28 13:14:23
111,Facebook,"It's okay, nothing special but does the job",2025-12-12 13:14:23
